strategy,base_strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
dst_dempster_fire_specificity_silence_sensitivity_tau_0_2,dst_dempster_fire_specificity_silence_sensitivity,0.2,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.5460619601665185,0.7001492107320026,0.8444391993476696
dst_dempster_fire_specificity_silence_sensitivity_tau_0_3,dst_dempster_fire_specificity_silence_sensitivity,0.3,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.5460619601665185,0.7001492107320026,0.8211238709925128
dst_dempster_fire_specificity_silence_sensitivity_tau_0_4,dst_dempster_fire_specificity_silence_sensitivity,0.4,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.5460619601665185,0.7001492107320026,0.7967569972126366
dst_dempster_fire_specificity_silence_sensitivity_tau_0_5,dst_dempster_fire_specificity_silence_sensitivity,0.5,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.5460619601665185,0.7001492107320026,0.4416566304155657
dst_dempster_fire_specificity_silence_sensitivity_tau_0_6,dst_dempster_fire_specificity_silence_sensitivity,0.6,522.4,284.8,340.4,600.0,1747.6,1122.4,625.2,0.6473021322028021,0.46544596661890897,0.5443868929441383,0.3619129119506483,0.45561310705586167,0.534554033381091,0.49375620178479773,0.5049164297815236,0.5415028123098561,0.4931506272235843,0.00951906211890249,0.5460619601665185,0.7001492107320026,0.7465532990173488
dst_dempster_fire_specificity_silence_sensitivity_tau_0_7,dst_dempster_fire_specificity_silence_sensitivity,0.7,522.4,284.8,340.4,600.0,1747.6,1122.4,625.2,0.6473021322028021,0.46544596661890897,0.5443868929441383,0.3619129119506483,0.45561310705586167,0.534554033381091,0.49375620178479773,0.5049164297815236,0.5415028123098561,0.4931506272235843,0.00951906211890249,0.5460619601665185,0.7001492107320026,0.7465532990173488
dst_dempster_fire_specificity_silence_sensitivity_tau_0_8,dst_dempster_fire_specificity_silence_sensitivity,0.8,508.2,275.0,350.2,614.2,1747.6,1122.4,625.2,0.649001777924026,0.4527631555113283,0.5600678592255545,0.36305010659626114,0.43993214077444553,0.5472368444886717,0.49123134068503826,0.5064155073684413,0.533386966813679,0.48189687014048765,0.012435361960462497,0.5460619601665185,0.7001492107320026,0.742976021045584
dst_dempster_fire_specificity_silence_sensitivity_tau_0_9,dst_dempster_fire_specificity_silence_sensitivity,0.9,470.0,248.2,377.0,652.4,1747.6,1122.4,625.2,0.6545849141274147,0.4187732146759896,0.6029377133834384,0.36620714087549755,0.3970622866165616,0.5812267853240105,0.48473137845440056,0.5108554640297139,0.5107686992738903,0.4512850881178654,0.021246404626584146,0.5460619601665185,0.7001492107320026,0.7226257845172073
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_1,dst_pcr6_fire_specificity_silence_sensitivity,0.1,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.541550688868935,0.695282273622985,0.9080637781030514
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_2,dst_pcr6_fire_specificity_silence_sensitivity,0.2,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.541550688868935,0.695282273622985,0.8444391993476696
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_3,dst_pcr6_fire_specificity_silence_sensitivity,0.3,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.541550688868935,0.695282273622985,0.8211238709925128
