strategy,base_strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_7,dst_pcr6_fire_specificity_silence_sensitivity,0.7,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.6905257403398409,0.30900107013296463,0.46211625560431885
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_8,dst_pcr6_fire_specificity_silence_sensitivity,0.8,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.6905257403398409,0.30900107013296463,0.46211625560431885
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_9,dst_pcr6_fire_specificity_silence_sensitivity,0.9,2125.4,2275.2,41003.6,2807.0,48211.2,4932.4,43278.8,0.48299415282696073,0.43089854047159387,0.9474292189806066,0.9359293111404787,0.05257078101939333,0.5691014595284061,0.8945845689964651,0.6891638797261003,0.45544206849285607,0.4403875477025817,0.3981015954714097,0.6905257403398409,0.30900107013296463,0.4539253649142202
dst_yager_fire_specificity_silence_sensitivity_tau_0_1,dst_yager_fire_specificity_silence_sensitivity,0.1,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.1023081521020742,1.0,0.0,,1.0,0.0,0.1023081521020742,0.5,0.18562524341324693,0.36299205435750653,,0.690418797656539,0.30600274491454316,0.9612828075749359
dst_yager_fire_specificity_silence_sensitivity_tau_0_2,dst_yager_fire_specificity_silence_sensitivity,0.2,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.1023081521020742,1.0,0.0,,1.0,0.0,0.1023081521020742,0.5,0.18562524341324693,0.36299205435750653,,0.690418797656539,0.30600274491454316,0.9612828075749359
dst_yager_fire_specificity_silence_sensitivity_tau_0_3,dst_yager_fire_specificity_silence_sensitivity,0.3,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.1023081521020742,1.0,0.0,,1.0,0.0,0.1023081521020742,0.5,0.18562524341324693,0.36299205435750653,,0.690418797656539,0.30600274491454316,0.7536788116597002
dst_yager_fire_specificity_silence_sensitivity_tau_0_4,dst_yager_fire_specificity_silence_sensitivity,0.4,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.1023081521020742,1.0,0.0,,1.0,0.0,0.1023081521020742,0.5,0.18562524341324693,0.36299205435750653,,0.690418797656539,0.30600274491454316,0.6328799685155565
dst_yager_fire_specificity_silence_sensitivity_tau_0_5,dst_yager_fire_specificity_silence_sensitivity,0.5,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.1023081521020742,1.0,0.0,,1.0,0.0,0.1023081521020742,0.5,0.18562524341324693,0.36299205435750653,,0.690418797656539,0.30600274491454316,0.26662500783804416
dst_yager_fire_specificity_silence_sensitivity_tau_0_6,dst_yager_fire_specificity_silence_sensitivity,0.6,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.690418797656539,0.30600274491454316,0.46211625560431885
dst_yager_fire_specificity_silence_sensitivity_tau_0_7,dst_yager_fire_specificity_silence_sensitivity,0.7,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.690418797656539,0.30600274491454316,0.46211625560431885
dst_yager_fire_specificity_silence_sensitivity_tau_0_8,dst_yager_fire_specificity_silence_sensitivity,0.8,2129.6,2281.4,40997.4,2802.8,48211.2,4932.4,43278.8,0.4828012075434529,0.4317502638360463,0.9472859498338057,0.9360101246999191,0.05271405016619436,0.5682497361639537,0.894543095526729,0.689518106834926,0.4558296896270476,0.44106581166214787,0.39842022161902113,0.690418797656539,0.30600274491454316,0.4619421376202023
dst_yager_fire_specificity_silence_sensitivity_tau_0_9,dst_yager_fire_specificity_silence_sensitivity,0.9,2124.2,2274.4,41004.4,2808.2,48211.2,4932.4,43278.8,0.48293837006488693,0.43065496679414983,0.9474477057252374,0.9359048681377289,0.05255229427476259,0.5693450332058502,0.8945762746299973,0.6890513362596936,0.45528129716875015,0.44017478662256976,0.3979450820431465,0.690418797656539,0.30600274491454316,0.4528629722861949
naive_bayes_tau_0_1,naive_bayes,0.1,1700.6,1782.0,41496.8,3231.8,48211.2,4932.4,43278.8,0.488346455295895,0.34477541635126974,0.9588250503466362,0.9277468643958736,0.04117494965336373,0.6552245836487303,0.89600333849939,0.651800233348953,0.4041662710985142,0.3663028651439998,0.35541464696058067,0.6653546950558005,0.2737987033293411,0.5098971734829865
naive_bayes_tau_0_2,naive_bayes,0.2,1687.0,1769.8,41509.0,3245.4,48211.2,4932.4,43278.8,0.48806287590277153,0.34201710523724493,0.9591069525172026,0.9274845754724762,0.04089304748279735,0.6579828947627551,0.8959742825364202,0.6505620288772238,0.40216892247167974,0.3637777841481132,0.3537300812159258,0.6653546950558005,0.2737987033293411,0.5084614714074842
naive_bayes_tau_0_3,naive_bayes,0.3,169.6,142.8,43136.0,4762.8,48211.2,4932.4,43278.8,0.5430651588232729,0.03438277177946804,0.9967004439983628,0.9005653498140145,0.003299556001637167,0.965617228220532,0.8982477056325955,0.5155416078889155,0.06466892893161162,0.042308414452517595,0.11741985442920785,0.6653546950558005,0.2737987033293411,0.6268912549913683
naive_bayes_tau_0_4,naive_bayes,0.4,114.0,86.2,43192.6,4818.4,48211.2,4932.4,43278.8,0.568799000628607,0.023110722800957554,0.9980082338259171,0.8996396859404454,0.001991766174082808,0.9768892771990425,0.898268474803771,0.5105594783134373,0.04440901381292584,0.02859658964473689,0.09940636700783446,0.6653546950558005,0.2737987033293411,0.5209950445445124
naive_bayes_tau_0_5,naive_bayes,0.5,114.0,86.2,43192.6,4818.4,48211.2,4932.4,43278.8,0.568799000628607,0.023110722800957554,0.9980082338259171,0.8996396859404454,0.001991766174082808,0.9768892771990425,0.898268474803771,0.5105594783134373,0.04440901381292584,0.02859658964473689,0.09940636700783446,0.6653546950558005,0.2737987033293411,0.5209950445445124
naive_bayes_tau_0_6,naive_bayes,0.6,112.2,85.4,43193.4,4820.2,48211.2,4932.4,43278.8,0.5670987963289866,0.02274540422109642,0.9980267184348162,0.899607634973717,0.0019732815651838298,0.9772545957789036,0.8982477318741703,0.5103860613279563,0.04372707990113443,0.028147870267616525,0.09838917151313388,0.6653546950558005,0.2737987033293411,0.5127875606814869
naive_bayes_tau_0_7,naive_bayes,0.7,56.2,29.6,43249.2,4876.2,48211.2,4932.4,43278.8,0.6576296837048703,0.011394500343132233,0.9993160835433159,0.8986772819912912,0.0006839164566841061,0.9886054996568678,0.8982436025516195,0.505355291943224,0.022386896279947326,0.014179426129977237,0.07682237711594658,0.6653546950558005,0.2737987033293411,0.5108553566354078
naive_bayes_tau_0_8,naive_bayes,0.8,19.6,13.4,43265.4,4912.8,48211.2,4932.4,43278.8,0.5903237831516703,0.003973048174127033,0.9996903859155468,0.8980285960934484,0.0003096140844531743,0.9960269518258731,0.8978204551947584,0.5018317170448369,0.00789112062453261,0.004957673930130175,0.04210759097874646,0.6653546950558005,0.2737987033293411,0.7135810113519092
naive_bayes_tau_0_9,naive_bayes,0.9,19.6,13.4,43265.4,4912.8,48211.2,4932.4,43278.8,0.5903237831516703,0.003973048174127033,0.9996903859155468,0.8980285960934484,0.0003096140844531743,0.9960269518258731,0.8978204551947584,0.5018317170448369,0.00789112062453261,0.004957673930130175,0.04210759097874646,0.6653546950558005,0.2737987033293411,0.7135810113519092
