fold,tool,family,tp,fp,tn,fn,ppv,npv,fpr,fnr,sensitivity,specificity,positive_support,supported
0,semgrep,CWE-1164,0,0,192784,59,,0.9996940516378608,0.0,1.0,0.0,1.0,59,False
1,codeql,CWE-20,10,217,191087,1531,0.04405286343612335,0.9920516254970979,0.0011343202442186259,0.9935107073329007,0.006489292667099286,0.9988656797557813,1541,True
1,codeql,CWE-74,0,0,192095,750,,0.9961108662397262,0.0,1.0,0.0,1.0,750,False
1,codeql,CWE-118,68,131,184246,8400,0.3417085427135678,0.9563967069131983,0.0007105007674493022,0.9919697685403873,0.00803023145961266,0.9992894992325507,8468,True
1,codeql,CWE-131,0,4,192825,16,0.0,0.9999170300921485,2.0743767794263312e-05,1.0,0.0,0.9999792562322057,16,True
1,codeql,CWE-190,2,101,191619,1123,0.019417475728155338,0.9941735584356289,0.0005268099311495931,0.9982222222222222,0.0017777777777777779,0.9994731900688504,1125,True
1,codeql,CWE-191,0,42,192670,133,0.0,0.9993101767088687,0.00021794179916144297,1.0,0.0,0.9997820582008385,133,True
1,codeql,CWE-269,0,0,192751,94,,0.9995125619020457,0.0,1.0,0.0,1.0,94,False
1,codeql,CWE-285,7,140,192479,219,0.047619047619047616,0.9988635066269499,0.000726823418250536,0.9690265486725663,0.030973451327433628,0.9992731765817494,226,True
1,codeql,CWE-287,0,0,192590,255,,0.9986776945215069,0.0,1.0,0.0,1.0,255,False
1,codeql,CWE-311,0,0,192812,33,,0.9998288781145479,0.0,1.0,0.0,1.0,33,False
1,codeql,CWE-327,1,19,192809,16,0.05,0.9999170232075716,9.853340801128467e-05,0.9411764705882353,0.058823529411764705,0.9999014665919888,17,True
1,codeql,CWE-369,0,0,192626,219,,0.998864372942,0.0,1.0,0.0,1.0,219,False
1,codeql,CWE-400,0,17,192366,462,0.0,0.997604082394673,8.836539611088298e-05,1.0,0.0,0.9999116346038891,462,True
1,codeql,CWE-404,1,77,191786,981,0.01282051282051282,0.9949109546758522,0.00040132803093874273,0.9989816700610998,0.0010183299389002036,0.9995986719690613,982,True
1,codeql,CWE-476,0,0,191498,1347,,0.9930151157665482,0.0,1.0,0.0,1.0,1347,False
1,codeql,CWE-573,0,14,192788,43,0.0,0.9997770068090711,7.26133546332507e-05,1.0,0.0,0.9999273866453667,43,True
1,codeql,CWE-662,2,46,192163,634,0.041666666666666664,0.9967115670886996,0.00023932282047146595,0.9968553459119497,0.0031446540880503146,0.9997606771795285,636,True
1,codeql,CWE-665,0,75,192657,113,0.0,0.9994138092026768,0.00038914139841852936,1.0,0.0,0.9996108586015815,113,True
1,codeql,CWE-666,0,14,192808,23,0.0,0.9998807245722938,7.260582298700355e-05,1.0,0.0,0.999927394177013,23,True
1,codeql,CWE-668,1,13,191740,1091,0.07142857142857142,0.9943421960162007,6.779554948292856e-05,0.9990842490842491,0.0009157509157509158,0.9999322044505171,1092,True
1,codeql,CWE-669,0,6,192822,17,0.0,0.9999118435586163,3.111581305619516e-05,1.0,0.0,0.9999688841869439,17,True
1,codeql,CWE-670,0,1,192836,8,0.0,0.9999585156914397,5.185726805540431e-06,1.0,0.0,0.9999948142731945,8,True
1,codeql,CWE-704,1,76,192417,351,0.012987012987012988,0.9981791583665338,0.0003948195518798086,0.9971590909090909,0.002840909090909091,0.9996051804481202,352,True
1,codeql,CWE-705,0,0,192634,211,,0.998905857035443,0.0,1.0,0.0,1.0,211,False
1,codeql,CWE-706,0,2,192198,645,0.0,0.9966553102783093,1.040582726326743e-05,1.0,0.0,0.9999895941727367,645,True
1,codeql,CWE-754,0,51,192661,133,0.0,0.9993101445065717,0.0002646436132674665,1.0,0.0,0.9997353563867325,133,True
1,codeql,CWE-834,2,35,192530,278,0.05405405405405406,0.9985581511140617,0.00018175680938903747,0.9928571428571429,0.007142857142857143,0.999818243190611,280,True
1,codeql,CWE-1164,0,4605,188181,59,0.0,0.9996865703357416,0.023886589275154836,1.0,0.0,0.9761134107248451,59,True
1,cppcheck,CWE-20,0,0,191304,1541,,0.9920091265005574,0.0,1.0,0.0,1.0,1541,False
1,cppcheck,CWE-74,0,0,192095,750,,0.9961108662397262,0.0,1.0,0.0,1.0,750,False
