family,fold,delta,family_support,language,n_tools,log_gt_kept,log_n_samples,kept_frac,union_recall,log_family_support
CWE-20,0,,92,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9637878273455553
CWE-20,1,,92,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9637878273455553
CWE-20,2,0.07950356061725519,92,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9637878273455553
CWE-20,3,0.07095144031352053,92,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9637878273455553
CWE-20,4,,92,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9637878273455553
CWE-285,0,-0.02320382249817914,73,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.863322860120456
CWE-285,1,-0.03734519198086489,73,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.863322860120456
CWE-285,2,-0.022931614652830713,74,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8692317197309762
CWE-285,3,0.010961493553947363,73,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.863322860120456
CWE-285,4,-0.0049797226768293484,73,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.863322860120456
CWE-287,0,0.1495334444771199,197,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.294466226161593
CWE-287,1,0.12688321579525405,197,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.294466226161593
CWE-287,2,0.14739593855961106,197,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.294466226161593
CWE-287,3,0.15002021462281626,197,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.294466226161593
CWE-287,4,0.17021006108566192,196,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.292256071356476
CWE-311,0,0.047969715348059216,78,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8920946026904804
CWE-311,1,,78,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8920946026904804
CWE-311,2,0.04949318841799992,79,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8976270912904414
CWE-311,3,0.059353855132852074,79,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8976270912904414
CWE-311,4,0.06540776223151762,78,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8920946026904804
CWE-327,0,-0.09052166262012955,32,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.505149978319906
CWE-327,1,-0.03462635325737118,32,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.505149978319906
CWE-327,2,-0.08017240075480497,33,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.5185139398778875
CWE-327,3,-0.061165587297813406,33,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.5185139398778875
CWE-327,4,0.012998921947063657,33,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.5185139398778875
CWE-330,0,0.34095353515367366,30,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.4771212547196624
CWE-330,1,0.3534470696199092,30,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.4771212547196624
CWE-330,2,0.1972877341125271,30,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.4771212547196624
CWE-330,3,,30,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.4771212547196624
CWE-330,4,,30,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.4771212547196624
CWE-345,0,,129,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.110589710299249
CWE-345,1,,129,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.110589710299249
CWE-345,2,,130,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.113943352306837
CWE-345,3,,130,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.113943352306837
CWE-345,4,,129,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.110589710299249
CWE-400,0,,68,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8325089127062364
CWE-400,1,,69,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8388490907372552
CWE-400,2,,69,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8388490907372552
CWE-400,3,,69,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8388490907372552
CWE-400,4,,68,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.8325089127062364
CWE-610,0,0.07005060775206204,95,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9777236052888478
CWE-610,1,0.04535606659824547,95,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9777236052888478
CWE-610,2,0.06585101337911638,96,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9822712330395684
CWE-610,3,0.027235088821029332,96,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9822712330395684
CWE-610,4,0.0909270335964675,95,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.9777236052888478
CWE-668,0,0.061227026027712725,301,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.478566495593843
CWE-668,1,0.11011081989005844,301,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.478566495593843
CWE-668,2,0.09293204233214934,301,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.478566495593843
CWE-668,3,0.0783608176086068,300,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.4771212547196626
CWE-668,4,0.10134348176131529,301,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.478566495593843
CWE-669,0,,49,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6901960800285136
CWE-669,1,,50,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6989700043360187
CWE-669,2,,50,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6989700043360187
CWE-669,3,,49,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6901960800285136
CWE-669,4,,50,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,1.6989700043360187
CWE-706,0,0.12122767609119245,101,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.0043213737826426
CWE-706,1,0.061191973290228116,101,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.0043213737826426
CWE-706,2,0.024656201559648212,101,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.0043213737826426
CWE-706,3,0.05913031520417081,101,python,5,3.9278321328665817,4.0290589500845,0.7331198060941828,0.2524459613196814,2.0043213737826426
