strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
weighted_fire_specificity_silence_sensitivity_tau_0_7,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6895632353747136,0.2878555969086729,0.46326355652002904
weighted_fire_specificity_silence_sensitivity_tau_0_8,2120.0,2266.4,41012.4,2812.4,48211.2,4932.4,43278.8,0.483350503470824,0.42980953024767865,0.947632431181838,0.935826204348744,0.05236756881816194,0.5701904697523213,0.894655120923996,0.6887209807147584,0.455000827593201,0.43954177879353545,0.39775893791056544,0.6895632353747136,0.2878555969086729,0.45509980241544135
weighted_fire_specificity_silence_sensitivity_tau_0_9,2119.0,2266.4,41012.4,2813.4,48211.2,4932.4,43278.8,0.4832324393441342,0.4296068131439358,0.947632431181838,0.935804847495114,0.05236756881816194,0.5703931868560642,0.8946343781673001,0.688619622162887,0.45483506033146026,0.4393527271674988,0.3975860224667307,0.6895632353747136,0.2878555969086729,0.45437392672363786
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6901005086364768,0.31045971472645806,0.9574686754693301
dst_dempster_fire_specificity_silence_sensitivity_tau_0_2,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6901005086364768,0.31045971472645806,0.9574686754693301
dst_dempster_fire_specificity_silence_sensitivity_tau_0_3,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6901005086364768,0.31045971472645806,0.8013616691983738
dst_dempster_fire_specificity_silence_sensitivity_tau_0_4,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6901005086364768,0.31045971472645806,0.6289416692989487
dst_dempster_fire_specificity_silence_sensitivity_tau_0_5,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6901005086364768,0.31045971472645806,0.2620983137898474
dst_dempster_fire_specificity_silence_sensitivity_tau_0_6,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6901005086364768,0.31045971472645806,0.46326355652002904
dst_dempster_fire_specificity_silence_sensitivity_tau_0_7,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6901005086364768,0.31045971472645806,0.46326355652002904
