strategy,n_families,precision_macro,precision_median,precision_weighted,recall_macro,recall_median,recall_weighted,specificity_macro,specificity_median,specificity_weighted,npv_macro,npv_median,npv_weighted,fpr_macro,fpr_median,fpr_weighted,fnr_macro,fnr_median,fnr_weighted,f1_macro,f1_median,f1_weighted,f2_macro,f2_median,f2_weighted,mcc_macro,mcc_median,mcc_weighted,accuracy_macro,accuracy_median,accuracy_weighted,balanced_accuracy_macro,balanced_accuracy_median,balanced_accuracy_weighted,roc_auc_macro,roc_auc_median,roc_auc_weighted,pr_auc_macro,pr_auc_median,pr_auc_weighted
weighted_fire_specificity_silence_sensitivity_tau_0_4,23,0.056841438561691174,0.011652610227394042,0.14277549329604688,0.049355165884774045,0.007272727272727273,0.2052824511165805,0.9938022049727333,0.9988033149271065,0.9716541430432559,0.996456295055607,0.9985560759015856,0.9847184788642683,0.006197795027266615,0.0011966850728936454,0.028345856956744134,0.9506448341152259,0.9927272727272728,0.7947175488834195,0.06770919219741818,0.030798389007344235,0.17087350007193597,0.07197659939380974,0.030211756115370574,0.19583597836774685,0.042075240735237336,0.008232981569078418,0.14607931858948772,0.9904846165423208,0.9974445764743208,0.9584276631995532,0.5215786854287537,0.503609367607377,0.5884682970799183,0.5215801515709417,0.5036091788152126,0.5884538828155387,0.013650621042275246,0.0029035820340743306,0.06635661132316857
weighted_fire_specificity_silence_sensitivity_tau_0_5,23,0.056841438561691174,0.011652610227394042,0.14277549329604688,0.049355165884774045,0.007272727272727273,0.2052824511165805,0.9938022049727333,0.9988033149271065,0.9716541430432559,0.996456295055607,0.9985560759015856,0.9847184788642683,0.006197795027266615,0.0011966850728936454,0.028345856956744134,0.9506448341152259,0.9927272727272728,0.7947175488834195,0.06770919219741818,0.030798389007344235,0.17087350007193597,0.07197659939380974,0.030211756115370574,0.19583597836774685,0.042075240735237336,0.008232981569078418,0.14607931858948772,0.9904846165423208,0.9974445764743208,0.9584276631995532,0.5215786854287537,0.503609367607377,0.5884682970799183,0.5215801515709417,0.5036091788152126,0.5884538828155387,0.013650621042275246,0.0029035820340743306,0.06635661132316857
weighted_fire_specificity_silence_sensitivity_tau_0_6,23,0.056841438561691174,0.011652610227394042,0.14277549329604688,0.049355165884774045,0.007272727272727273,0.2052824511165805,0.9938022049727333,0.9988033149271065,0.9716541430432559,0.996456295055607,0.9985560759015856,0.9847184788642683,0.006197795027266615,0.0011966850728936454,0.028345856956744134,0.9506448341152259,0.9927272727272728,0.7947175488834195,0.06770919219741818,0.030798389007344235,0.17087350007193597,0.07197659939380974,0.030211756115370574,0.19583597836774685,0.042075240735237336,0.008232981569078418,0.14607931858948772,0.9904846165423208,0.9974445764743208,0.9584276631995532,0.5215786854287537,0.503609367607377,0.5884682970799183,0.5215801515709417,0.5036091788152126,0.5884538828155387,0.013650621042275246,0.0029035820340743306,0.06635661132316857
weighted_fire_specificity_silence_sensitivity_tau_0_7,23,0.056841438561691174,0.011652610227394042,0.14277549329604688,0.049355165884774045,0.007272727272727273,0.2052824511165805,0.9938022049727333,0.9988033149271065,0.9716541430432559,0.996456295055607,0.9985560759015856,0.9847184788642683,0.006197795027266615,0.0011966850728936454,0.028345856956744134,0.9506448341152259,0.9927272727272728,0.7947175488834195,0.06770919219741818,0.030798389007344235,0.17087350007193597,0.07197659939380974,0.030211756115370574,0.19583597836774685,0.042075240735237336,0.008232981569078418,0.14607931858948772,0.9904846165423208,0.9974445764743208,0.9584276631995532,0.5215786854287537,0.503609367607377,0.5884682970799183,0.5215801515709417,0.5036091788152126,0.5884538828155387,0.013650621042275246,0.0029035820340743306,0.06635661132316857
weighted_fire_specificity_silence_sensitivity_tau_0_8,23,0.05741688444561685,0.011652610227394042,0.1420877901508037,0.04894441235742813,0.007272727272727273,0.20111595805379148,0.993829316338627,0.9988033149271065,0.9718755867300956,0.9964381127627641,0.9985560759015856,0.9845338830265532,0.006170683661373033,0.0011966850728936454,0.02812441326990457,0.9510555876425719,0.9927272727272728,0.7988840419462087,0.0677234840702848,0.030798389007344235,0.16873128735204576,0.07160964237624003,0.030211756115370574,0.19250166815893735,0.04211578485601403,0.008232981569078418,0.14380637692826898,0.9904927326147807,0.9974445764743208,0.9584566362937795,0.5213868643480276,0.503609367607377,0.5864957723919435,0.5215801515709417,0.5036091788152126,0.5884538828155387,0.013650621042275246,0.0029035820340743306,0.06635661132316857
weighted_fire_specificity_silence_sensitivity_tau_0_9,23,0.05800454741582908,0.011652610227394042,0.14245020710669198,0.048903337004693535,0.007272727272727273,0.20069930874751254,0.9938353377511501,0.9988033149271065,0.9718915374713568,0.9964362780699305,0.9985560759015856,0.9845151412221361,0.006164662248849856,0.0011966850728936454,0.028108462528643262,0.9510966629953065,0.9927272727272728,0.7993006912524876,0.06800533136520807,0.030798389007344235,0.16866835431668978,0.07166880226850846,0.030211756115370574,0.19221495334173838,0.04234960559922617,0.008232981569078418,0.14375612671570165,0.9904968813112727,0.9974445764743208,0.9584537693648512,0.5213693373779219,0.503609367607377,0.5862954231094346,0.5215801515709417,0.5036091788152126,0.5884538828155387,0.013650621042275246,0.0029035820340743306,0.06635661132316857
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,23,0.004328913861531993,0.001456093473177496,0.021979975209837584,0.991304347826087,1.0,0.9973417774259407,0.008695652173913044,0.0,0.002658222574059414,0.9986724195154332,0.9986724195154332,0.9986724195154332,0.991304347826087,1.0,0.9973417774259407,0.008695652173913044,0.0,0.002658222574059414,0.008474711318259796,0.002907952556708425,0.04230031824288951,0.019997229640867607,0.007238307380360226,0.09513482958349916,,,,0.013001523724813113,0.001825302014376625,0.024631153851014765,0.5,0.5,0.5,0.52159647399693,0.5036095563995413,0.5886323335107386,0.013357513064804457,0.0024494834926427813,0.06895097607585703
dst_dempster_fire_specificity_silence_sensitivity_tau_0_2,23,0.004328913861531993,0.001456093473177496,0.021979975209837584,0.991304347826087,1.0,0.9973417774259407,0.008695652173913044,0.0,0.002658222574059414,0.9986724195154332,0.9986724195154332,0.9986724195154332,0.991304347826087,1.0,0.9973417774259407,0.008695652173913044,0.0,0.002658222574059414,0.008474711318259796,0.002907952556708425,0.04230031824288951,0.019997229640867607,0.007238307380360226,0.09513482958349916,,,,0.013001523724813113,0.001825302014376625,0.024631153851014765,0.5,0.5,0.5,0.52159647399693,0.5036095563995413,0.5886323335107386,0.013357513064804457,0.0024494834926427813,0.06895097607585703
dst_dempster_fire_specificity_silence_sensitivity_tau_0_3,23,0.009317030059378081,0.001456093473177496,0.07257710986866929,0.9751001211722906,1.0,0.8329736260989126,0.03330610482511966,0.0,0.25229522729050907,0.9846605732200204,0.9846605732200204,0.971468568995084,0.9666938951748804,1.0,0.7477047727094909,0.024899878827709433,0.0,0.16702637390108746,0.013849363965754832,0.002907952556708425,0.09681829917268009,0.02393161070033694,0.007238307380360226,0.1350433642626002,0.25749898202389876,0.25749898202389876,0.25749898202389876,0.03581983167948111,0.001825302014376625,0.2560894748836257,0.5042031129987051,0.5,0.5426344266947108,0.52159647399693,0.5036095563995413,0.5886323335107386,0.013357513064804457,0.0024494834926427813,0.06895097607585703
dst_dempster_fire_specificity_silence_sensitivity_tau_0_4,23,0.029097633322973836,0.001456093473177496,0.1226538981177025,0.8984692725324955,1.0,0.6526497271120397,0.1356678766391806,0.0,0.5132451523746063,0.9905428284354287,0.9963130050116635,0.9759546786026179,0.8643321233608195,1.0,0.4867548476253936,0.10153072746750447,0.0,0.3473502728879604,0.03308635265573335,0.002907952556708425,0.14977343684540395,0.04241928933365812,0.007238307380360226,0.17957705642820593,0.21691341787186028,0.26047498090139476,0.24593627152445435,0.1362712727579572,0.001825302014376625,0.5041958843823946,0.5170685745858381,0.5,0.582947439743323,0.52159647399693,0.5036095563995413,0.5886323335107386,0.013357513064804457,0.0024494834926427813,0.06895097607585703
