strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_3,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5408777385802026,0.6951291748977887,0.831250206731383
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_4,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5408777385802026,0.6951291748977887,0.8066600161485752
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_5,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5408777385802026,0.6951291748977887,0.4542252403153283
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_6,523.2,288.4,336.8,599.2,1747.6,1122.4,625.2,0.6446878205716718,0.46615298787126036,0.5387221102646023,0.3598231378768922,0.46127788973539774,0.5338470121287398,0.49210389769785473,0.5024375490679314,0.5410164761763694,0.49345783575168,0.004689492037137952,0.5408777385802026,0.6951291748977887,0.7465142660632932
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_7,508.8,280.6,344.6,613.6,1747.6,1122.4,625.2,0.6445687291056338,0.45331739016206496,0.5511954747276153,0.3596271080408155,0.4488045252723847,0.546682609837935,0.48832616466410494,0.5022564324448402,0.5322361873800605,0.4818922146662751,0.004351455079431385,0.5408777385802026,0.6951291748977887,0.743318495831737
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_8,475.4,270.2,355.0,647.0,1747.6,1122.4,625.2,0.6376167662326054,0.42357156731946527,0.5678278233800278,0.354303824247252,0.43217217661997215,0.5764284326805347,0.4751667338027602,0.4956996953497466,0.5089479904910861,0.4540296106855924,-0.00833594016514612,0.5408777385802026,0.6951291748977887,0.7070986338913865
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_9,457.2,241.4,383.8,665.2,1747.6,1122.4,625.2,0.6544819401091307,0.40735894722198757,0.613895092979438,0.3658854132441937,0.38610490702056194,0.5926410527780124,0.4812360864309285,0.5106270201007128,0.502107950694017,0.4406102475281191,0.020805818895929036,0.5408777385802026,0.6951291748977887,0.6692108520854273
dst_yager_fire_specificity_silence_sensitivity_tau_0_1,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5286437519135168,0.681673643940342,0.9194310280019001
dst_yager_fire_specificity_silence_sensitivity_tau_0_2,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5286437519135168,0.681673643940342,0.8538802338711008
dst_yager_fire_specificity_silence_sensitivity_tau_0_3,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5286437519135168,0.681673643940342,0.831250206731383
dst_yager_fire_specificity_silence_sensitivity_tau_0_4,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5286437519135168,0.681673643940342,0.8066600161485752
dst_yager_fire_specificity_silence_sensitivity_tau_0_5,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5286437519135168,0.681673643940342,0.4542252403153283
dst_yager_fire_specificity_silence_sensitivity_tau_0_6,522.6,288.2,337.0,599.8,1747.6,1122.4,625.2,0.6445884804737508,0.46561727358554605,0.5390415990824936,0.35972400037317454,0.46095840091750634,0.534382726414454,0.49187480262339883,0.5023294363340198,0.5406273417797209,0.49296919327691063,0.004482329945942979,0.5286437519135168,0.681673643940342,0.7473553759129319
dst_yager_fire_specificity_silence_sensitivity_tau_0_7,503.0,280.2,345.0,619.4,1747.6,1122.4,625.2,0.6422562316269621,0.44815526199955863,0.5518354747276153,0.3577404957763922,0.44816452527238465,0.5518447380004414,0.4852388596802414,0.49999536836358693,0.5278837106878969,0.4769640762685037,-6.167691619632029e-06,0.5286437519135168,0.681673643940342,0.738723604647186
dst_yager_fire_specificity_silence_sensitivity_tau_0_8,471.2,267.4,357.8,651.2,1747.6,1122.4,625.2,0.6379750322652091,0.41983166607102335,0.5723047595641845,0.3546226056937236,0.4276952404358155,0.5801683339289767,0.47436790558679653,0.4960682128176039,0.506359698280036,0.4506270928244933,-0.007629494950029016,0.5286437519135168,0.681673643940342,0.6492969241883177
dst_yager_fire_specificity_silence_sensitivity_tau_0_9,403.6,240.4,384.8,718.8,1747.6,1122.4,625.2,0.626808953554735,0.3595924673536362,0.6154930482510035,0.3486488394151168,0.38450695174899646,0.6404075326463639,0.4511329043222482,0.4875427578023198,0.45696903280810053,0.3930948828359469,-0.024727548509003182,0.5286437519135168,0.681673643940342,0.6916533901161914
naive_bayes_tau_0_1,1118.2,602.2,23.0,4.2,1747.6,1122.4,625.2,0.649965143859873,0.9962580559074775,0.0367867420332596,0.8537383689107827,0.9632132579667404,0.0037419440925225062,0.6530108900234051,0.5165223989703686,0.7866879687998918,0.9003209070753793,0.12853385297748793,0.5570073830062203,0.6939061057652498,0.5136575375444208
naive_bayes_tau_0_2,483.2,246.4,378.8,639.2,1747.6,1122.4,625.2,0.6623060383363051,0.430504113874475,0.6059012189727205,0.37210689570220895,0.39409878102727947,0.569495886125525,0.49325264968390004,0.5182026664235978,0.5217319204348945,0.46286720368462814,0.0353950398494167,0.5570073830062203,0.6939061057652498,0.796944923946048
naive_bayes_tau_0_3,460.4,167.6,457.6,662.0,1747.6,1122.4,625.2,0.7330900075592985,0.41019222314209564,0.7319353387400671,0.4087504315418163,0.2680646612599328,0.5898077768579043,0.5252940069476218,0.5710637809410815,0.5259991482706001,0.4498001095716032,0.14198279321205384,0.5570073830062203,0.6939061057652498,0.8073312801726145
naive_bayes_tau_0_4,383.2,157.6,467.6,739.2,1747.6,1122.4,625.2,0.708724952034941,0.34139763021615965,0.7479276792004587,0.387448970425866,0.2520723207995412,0.6586023697838403,0.4868401823065994,0.5446626547083092,0.46078270855679976,0.38086678085939607,0.09268475088294811,0.5570073830062203,0.6939061057652498,0.8774898368927568
naive_bayes_tau_0_5,303.0,95.6,529.6,819.4,1747.6,1122.4,625.2,0.760177609576511,0.26992732529114916,0.8470940394855411,0.392585786269714,0.15290596051445893,0.7300726747088508,0.476417833665254,0.5585106823883452,0.3983385958028128,0.3098831146733764,0.13369569447196405,0.5570073830062203,0.6939061057652498,0.8910800029380986
naive_bayes_tau_0_6,276.8,91.2,534.0,845.6,1747.6,1122.4,625.2,0.752226245830395,0.24664217371948466,0.8541355877775046,0.38709799354520696,0.1458644122224953,0.7533578262805154,0.4639619074196606,0.5503888807484947,0.3713639668601937,0.28491141820933613,0.11848181909821784,0.5570073830062203,0.6939061057652498,0.9141219339524425
naive_bayes_tau_0_7,232.4,74.0,551.2,890.0,1747.6,1122.4,625.2,0.7586311117965873,0.20704988172225094,0.881641812075039,0.38245323424586847,0.11835818792496108,0.7929501182777491,0.44838072284065345,0.544345846898645,0.32529345667698084,0.2422758889209195,0.11185891599035688,0.5570073830062203,0.6939061057652498,0.9294348817676991
naive_bayes_tau_0_8,153.4,36.6,588.6,969.0,1747.6,1122.4,625.2,0.8527882008483326,0.13657183982330454,0.941479349553535,0.37794239853108996,0.058520650446465136,0.8634281601766954,0.42455780023896883,0.5390255946884197,0.22806545683008156,0.16250036601744408,0.1313972598230431,0.5570073830062203,0.6939061057652498,0.8909117517434764
naive_bayes_tau_0_9,79.6,3.8,621.4,1042.8,1747.6,1122.4,625.2,0.9545109439124486,0.0709137346263558,0.9939215302695175,0.3733937354405058,0.00607846973048251,0.9290862653736441,0.4011191410112569,0.5324176324479366,0.13201004767698526,0.08702411124371148,0.14578965803791963,0.5570073830062203,0.6939061057652498,0.9674030084354259
bks_tau_0_1,1115.0,598.0,27.2,7.4,1747.6,1122.4,625.2,0.6509054186124823,0.9934073881866926,0.04350419267633325,0.7941994476112123,0.9564958073236667,0.006592611813307459,0.6535832426235191,0.5184557904315129,0.7864837942073251,0.8988152900094212,0.12768339320984043,0.5851968239925172,0.693868588322273,0.504018593862872
bks_tau_0_2,457.0,167.2,458.0,665.4,1747.6,1122.4,625.2,0.732148029357484,0.40716803765452403,0.7325753403784714,0.40771055878804613,0.2674246596215286,0.592831962345476,0.5235795731005254,0.5698716890164978,0.5232751042665194,0.44682201800951393,0.13980009898229487,0.5851968239925172,0.693868588322273,0.8115501554223286
bks_tau_0_3,453.8,166.0,459.2,668.6,1747.6,1122.4,625.2,0.7321681869884488,0.40431371335783767,0.7344963676579013,0.4071922076264947,0.2655036323420988,0.5956862866421624,0.5224329100483016,0.5694050405078694,0.5208990465579584,0.4440641048946944,0.13908358914733132,0.5851968239925172,0.693868588322273,0.8142807132801592
bks_tau_0_4,331.8,116.0,509.2,790.6,1747.6,1122.4,625.2,0.7410422623720484,0.29560601326057345,0.8144693520111412,0.3917441484545529,0.18553064798885885,0.7043939867394265,0.4812263940848787,0.5550376826358573,0.42260490063064793,0.3359931336195663,0.12089731990350003,0.5851968239925172,0.693868588322273,0.896331124321075
bks_tau_0_5,275.4,88.4,536.8,847.0,1747.6,1122.4,625.2,0.7569389795939295,0.2453690867848315,0.8586130367821742,0.3879278141857073,0.14138696321782582,0.7546309132151685,0.4647514535974066,0.5519910617835028,0.3705860957137149,0.28371381291309106,0.12273216464577344,0.5851968239925172,0.693868588322273,0.9316406187578306
bks_tau_0_6,241.4,83.2,542.0,881.0,1747.6,1122.4,625.2,0.7431916387462498,0.21511150623997244,0.8669310002457606,0.3809480779955536,0.13306899975423936,0.7848884937600276,0.4482859631464847,0.5410212532428665,0.3334972200288794,0.250703510095588,0.10090150441715866,0.5851968239925172,0.693868588322273,0.9607515786545523
