cwe,family,level
CWE-553,CWE-668,pillar_child
CWE-555,CWE-287,pillar_child
CWE-556,CWE-269,pillar_child
CWE-558,CWE-662,pillar_child
CWE-561,CWE-1164,pillar_child
CWE-563,CWE-1164,pillar_child
CWE-564,CWE-74,pillar_child
CWE-565,CWE-668,pillar_child
CWE-566,CWE-285,pillar_child
CWE-567,CWE-662,pillar_child
CWE-568,CWE-404,pillar_child
CWE-573,CWE-573,pillar_child
CWE-580,CWE-580,pillar_child
CWE-581,CWE-573,pillar_child
CWE-582,CWE-668,pillar_child
CWE-589,CWE-758,pillar_child
CWE-593,CWE-666,pillar_child
CWE-594,CWE-1076,pillar_child
CWE-598,CWE-668,pillar_child
CWE-600,CWE-705,pillar_child
CWE-601,CWE-610,pillar_child
CWE-602,CWE-602,pillar_child
CWE-603,CWE-287,pillar_child
CWE-605,CWE-573,pillar_child
CWE-606,CWE-20,pillar_child
CWE-607,CWE-471,pillar_child
CWE-610,CWE-610,pillar_child
CWE-611,CWE-610,pillar_child
CWE-612,CWE-285,pillar_child
CWE-613,CWE-666,pillar_child
CWE-614,CWE-311,pillar_child
CWE-616,CWE-345,pillar_child
CWE-617,CWE-705,pillar_child
CWE-618,CWE-749,pillar_child
CWE-619,CWE-668,pillar_child
CWE-625,CWE-185,pillar_child
CWE-627,CWE-74,pillar_child
CWE-639,CWE-285,pillar_child
CWE-640,CWE-287,pillar_child
CWE-641,CWE-74,pillar_child
CWE-642,CWE-668,pillar_child
CWE-643,CWE-74,pillar_child
CWE-644,CWE-116,pillar_child
CWE-645,CWE-287,pillar_child
CWE-646,CWE-345,pillar_child
CWE-648,CWE-269,pillar_child
CWE-649,CWE-345,pillar_child
CWE-650,CWE-436,pillar_child
CWE-651,CWE-668,pillar_child
CWE-652,CWE-74,pillar_child
CWE-653,CWE-657,pillar_child
CWE-654,CWE-657,pillar_child
CWE-656,CWE-657,pillar_child
CWE-657,CWE-657,pillar_child
CWE-662,CWE-662,pillar_child
CWE-664,,pillar_child
CWE-665,CWE-665,pillar_child
CWE-667,CWE-662,pillar_child
CWE-668,CWE-668,pillar_child
CWE-671,CWE-657,pillar_child
CWE-672,CWE-666,pillar_child
CWE-673,CWE-673,pillar_child
CWE-674,CWE-834,pillar_child
CWE-680,CWE-190,pillar_child
CWE-681,CWE-704,pillar_child
CWE-682,,pillar_child
CWE-684,CWE-684,pillar_child
CWE-690,CWE-754,pillar_child
CWE-692,CWE-184,pillar_child
CWE-693,,pillar_child
CWE-694,CWE-74,pillar_child
CWE-695,CWE-573,pillar_child
CWE-696,CWE-696,pillar_child
CWE-697,,pillar_child
CWE-706,CWE-706,pillar_child
CWE-707,,pillar_child
CWE-730,,pillar_child
CWE-732,CWE-285,pillar_child
CWE-733,CWE-1038,pillar_child
CWE-749,CWE-749,pillar_child
CWE-754,CWE-754,pillar_child
CWE-755,CWE-755,pillar_child
CWE-757,CWE-757,pillar_child
CWE-759,CWE-327,pillar_child
CWE-760,CWE-327,pillar_child
CWE-766,CWE-285,pillar_child
CWE-767,CWE-668,pillar_child
CWE-770,CWE-400,pillar_child
CWE-772,CWE-404,pillar_child
CWE-774,CWE-400,pillar_child
CWE-776,CWE-834,pillar_child
CWE-777,CWE-185,pillar_child
CWE-778,CWE-221,pillar_child
CWE-779,CWE-400,pillar_child
CWE-780,CWE-327,pillar_child
CWE-782,CWE-749,pillar_child
CWE-784,CWE-668,pillar_child
CWE-787,CWE-118,pillar_child
CWE-789,CWE-400,pillar_child
CWE-798,CWE-287,pillar_child
CWE-799,CWE-799,pillar_child
CWE-804,CWE-285,pillar_child
CWE-805,CWE-118,pillar_child
CWE-806,CWE-118,pillar_child
CWE-807,CWE-807,pillar_child
CWE-822,CWE-118,pillar_child
CWE-823,CWE-118,pillar_child
CWE-827,CWE-706,pillar_child
CWE-828,CWE-662,pillar_child
CWE-829,CWE-669,pillar_child
CWE-830,CWE-669,pillar_child
CWE-832,CWE-662,pillar_child
CWE-833,CWE-662,pillar_child
CWE-835,CWE-834,pillar_child
CWE-836,CWE-287,pillar_child
CWE-838,CWE-116,pillar_child
CWE-839,CWE-1023,pillar_child
CWE-842,CWE-286,pillar_child
CWE-862,CWE-285,pillar_child
CWE-863,CWE-285,pillar_child
CWE-910,CWE-666,pillar_child
CWE-912,CWE-684,pillar_child
CWE-913,CWE-913,pillar_child
CWE-914,CWE-74,pillar_child
CWE-915,CWE-913,pillar_child
CWE-916,CWE-327,pillar_child
CWE-918,CWE-610,pillar_child
CWE-920,CWE-400,pillar_child
CWE-921,CWE-922,pillar_child
CWE-922,CWE-922,pillar_child
CWE-923,CWE-923,pillar_child
CWE-924,CWE-345,pillar_child
CWE-925,CWE-923,pillar_child
CWE-926,CWE-285,pillar_child
CWE-927,CWE-285,pillar_child
CWE-939,CWE-285,pillar_child
CWE-940,CWE-923,pillar_child
CWE-941,CWE-923,pillar_child
CWE-942,CWE-285,pillar_child
CWE-943,CWE-74,pillar_child
CWE-1004,CWE-285,pillar_child
CWE-1007,CWE-684,pillar_child
CWE-1021,CWE-610,pillar_child
CWE-1022,CWE-269,pillar_child
CWE-1037,CWE-1038,pillar_child
