strategy,base_strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
dst_dempster_fire_specificity_silence_sensitivity_tau_0_6,dst_dempster_fire_specificity_silence_sensitivity,0.6,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5472560086757989,0.49094520595099755,0.5172429685681272
dst_dempster_fire_specificity_silence_sensitivity_tau_0_7,dst_dempster_fire_specificity_silence_sensitivity,0.7,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5472560086757989,0.49094520595099755,0.5172429685681272
dst_dempster_fire_specificity_silence_sensitivity_tau_0_8,dst_dempster_fire_specificity_silence_sensitivity,0.8,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5472560086757989,0.49094520595099755,0.5172429685681272
dst_dempster_fire_specificity_silence_sensitivity_tau_0_9,dst_dempster_fire_specificity_silence_sensitivity,0.9,997.8,939.8,5729.6,3934.6,11601.8,4932.4,6669.4,0.5149710982534739,0.20229493070131227,0.8590806246655107,0.5928660845394724,0.1409193753344893,0.7977050692986877,0.5798587116891275,0.5306877776834116,0.29046972378767777,0.23025237918977534,0.08135307292279206,0.5472560086757989,0.49094520595099755,0.25046967898126815
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_1,dst_pcr6_fire_specificity_silence_sensitivity,0.1,4932.4,6669.4,0.0,0.0,11601.8,4932.4,6669.4,0.4251405857067784,1.0,0.0,,1.0,0.0,0.4251405857067784,0.5,0.5966285333073972,0.7871317548888508,,0.5472588610194691,0.48987144031510094,0.9506058369092116
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_2,dst_pcr6_fire_specificity_silence_sensitivity,0.2,4932.4,6669.4,0.0,0.0,11601.8,4932.4,6669.4,0.4251405857067784,1.0,0.0,,1.0,0.0,0.4251405857067784,0.5,0.5966285333073972,0.7871317548888508,,0.5472588610194691,0.48987144031510094,0.9506058369092116
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_3,dst_pcr6_fire_specificity_silence_sensitivity,0.3,4932.4,6669.4,0.0,0.0,11601.8,4932.4,6669.4,0.4251405857067784,1.0,0.0,,1.0,0.0,0.4251405857067784,0.5,0.5966285333073972,0.7871317548888508,,0.5472588610194691,0.48987144031510094,0.6926716065777618
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_4,dst_pcr6_fire_specificity_silence_sensitivity,0.4,4932.4,6669.4,0.0,0.0,11601.8,4932.4,6669.4,0.4251405857067784,1.0,0.0,,1.0,0.0,0.4251405857067784,0.5,0.5966285333073972,0.7871317548888508,,0.5472588610194691,0.48987144031510094,0.6220764791377145
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_5,dst_pcr6_fire_specificity_silence_sensitivity,0.5,4932.4,6669.4,0.0,0.0,11601.8,4932.4,6669.4,0.4251405857067784,1.0,0.0,,1.0,0.0,0.4251405857067784,0.5,0.5966285333073972,0.7871317548888508,,0.5472588610194691,0.48987144031510094,0.2564629806116142
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_6,dst_pcr6_fire_specificity_silence_sensitivity,0.6,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5472588610194691,0.48987144031510094,0.5172429685681272
