strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
dst_dempster_fire_specificity_silence_sensitivity_tau_0_3,1436.8,701.6,0.0,0.0,2138.4,1436.8,701.6,0.6718727792103223,1.0,0.0,,1.0,0.0,0.6718727792103223,0.5,0.8037229442468735,0.911003248516266,,0.6020970457467778,0.7428083010058479,0.7725649344761045
dst_dempster_fire_specificity_silence_sensitivity_tau_0_4,1436.8,701.6,0.0,0.0,2138.4,1436.8,701.6,0.6718727792103223,1.0,0.0,,1.0,0.0,0.6718727792103223,0.5,0.8037229442468735,0.911003248516266,,0.6020970457467778,0.7428083010058479,0.5840346934718535
dst_dempster_fire_specificity_silence_sensitivity_tau_0_5,1436.8,701.6,0.0,0.0,2138.4,1436.8,701.6,0.6718727792103223,1.0,0.0,,1.0,0.0,0.6718727792103223,0.5,0.8037229442468735,0.911003248516266,,0.6020970457467778,0.7428083010058479,0.31278335591960865
dst_dempster_fire_specificity_silence_sensitivity_tau_0_6,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.6020970457467778,0.7428083010058479,0.5755211210414461
dst_dempster_fire_specificity_silence_sensitivity_tau_0_7,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.6020970457467778,0.7428083010058479,0.5755211210414461
dst_dempster_fire_specificity_silence_sensitivity_tau_0_8,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.6020970457467778,0.7428083010058479,0.5755211210414461
dst_dempster_fire_specificity_silence_sensitivity_tau_0_9,660.8,227.0,474.6,776.0,2138.4,1436.8,701.6,0.7444643198822785,0.4599218997020353,0.6765554959852433,0.3795116902217456,0.32344450401475666,0.5400781002979647,0.5309708060433532,0.5682386978436392,0.5684823031955691,0.49794716175878406,0.1300749135089078,0.6020970457467778,0.7428083010058479,0.567404114148241
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_1,1436.8,701.6,0.0,0.0,2138.4,1436.8,701.6,0.6718727792103223,1.0,0.0,,1.0,0.0,0.6718727792103223,0.5,0.8037229442468735,0.911003248516266,,0.5984922462133453,0.7352056639863307,0.8984353245940179
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_2,1436.8,701.6,0.0,0.0,2138.4,1436.8,701.6,0.6718727792103223,1.0,0.0,,1.0,0.0,0.6718727792103223,0.5,0.8037229442468735,0.911003248516266,,0.5984922462133453,0.7352056639863307,0.7844102640049042
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_3,1436.8,701.6,0.0,0.0,2138.4,1436.8,701.6,0.6718727792103223,1.0,0.0,,1.0,0.0,0.6718727792103223,0.5,0.8037229442468735,0.911003248516266,,0.5984922462133453,0.7352056639863307,0.7725649344761045
